Treatment,Species,Subfamily,Tribe,Tribe_ID,Tillers_prefire,Tillers_postfire,PER_RS,EM_Days,FLO_Week,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Type,HBT,LC
4 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,27,6,22.22,4,NA,76.47,0.35,591,1088.1,167,6.52,282.57,C4,Rhizomatous,p
4 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,35,14,40,4,NA,175.79,0.2,591,1088.1,167,6.52,282.57,C4,Rhizomatous,p
4 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,33,10,30.3,2,NA,121.04,0.27,591,1088.1,167,6.52,282.57,C4,Rhizomatous,p
4 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,57,10,17.54,6,NA,168.39,0.34,591,1088.1,167,6.52,282.57,C4,Rhizomatous,p
4 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,43,17,39.53,4,NA,81.49,0.53,591,1088.1,167,6.52,282.57,C4,Rhizomatous,p
8 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,30,81,270,4,NA,191.07,0.16,533,1263.96,168,7.52,315.2,C4,Rhizomatous,p
8 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,28,45,160.71,4,NA,223.53,0.13,533,1263.96,168,7.52,315.2,C4,Rhizomatous,p
8 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,58,93,160.34,4,NA,206.98,0.28,533,1263.96,168,7.52,315.2,C4,Rhizomatous,p
8 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,38,20,52.63,4,NA,86.66,0.44,533,1263.96,168,7.52,315.2,C4,Rhizomatous,p
8 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,27,11,40.74,4,NA,127.32,0.21,533,1263.96,168,7.52,315.2,C4,Rhizomatous,p
11 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,37,26,70.27,4,NA,133.77,0.28,452,1002.78,153,6.55,338.5,C4,Rhizomatous,p
11 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,44,60,136.36,4,NA,198.94,0.22,452,1002.78,153,6.55,338.5,C4,Rhizomatous,p
11 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,45,25,55.56,4,NA,183.35,0.25,452,1002.78,153,6.55,338.5,C4,Rhizomatous,p
11 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,49,85,173.47,4,NA,147.14,0.33,452,1002.78,153,6.55,338.5,C4,Rhizomatous,p
11 Days,Zoysia macrantha,Chloridoideae,Cynodonteae,9,28,18,64.29,4,NA,97.48,0.29,452,1002.78,153,6.55,338.5,C4,Rhizomatous,p
